uri,duration
spotify:track:3vxaqEiDtYSTJmlVxVILra,285240
spotify:track:78u20OUWmrGUQawPm6h577,162992
spotify:track:0e7ipj03S05BNilyu5bRzt,218146
spotify:track:2RognU2ViRdA6HxnpAITJl,222346
spotify:track:5yI4trOBy1XAiAFWTX1LGg,266840
spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym,301373
spotify:track:1VauUM5CBX7nkLcgafQL2B,164895
spotify:track:33bnxcjePIkcmNjEFTJX0l,220116
spotify:track:38XdKOWBr7U80tmK7kS0Me,272375
spotify:track:0UvCh63URrLFcPkKt99hHd,289560
spotify:track:3Dv1eDb0MEgF93GpLXlucZ,237893
spotify:track:7o2CTH4ctstm8TNelqjb51,354520
spotify:track:0mjy63zknb4SntuZRI5sDw,353600
spotify:track:2lY7R0zuSij9g7gyRiwN5I,383546
spotify:track:6vNaGz1KH44XJ9zRyCE81I,240013
spotify:track:6hiXQhwO98tEbNNbWtNS1Y,269093
spotify:track:0qxYx4F3vm1AOnfux6dDxP,280000
spotify:track:4vlRGmwwBNW8SkBMMIIlub,226843
spotify:track:2L95U6syP0bV3fkYYOzmiW,219000
spotify:track:46lvmzK8wxAy66tjzXXSh0,264483
spotify:track:24LCJ8C0D8kx6iplic9SDV,281520
spotify:track:32BEasyNQgqXQJKoVa0fUw,259893
spotify:track:5ddXMXmXZ2FN4iliTG20nO,239666
spotify:track:1gFNm7cXfG1vSMcxPpSxec,188960
spotify:track:4xEAPLGnp20PYUlhbKHuTF,186306
spotify:track:6sxptembJVty4sNtcPMAVz,234493
spotify:track:5hVghJ4KaYES3BFUATCYn0,190066
spotify:track:46RVKt5Edm1zl0rXhPJZxz,220866
spotify:track:0evTkLjoSWqhHSQrn6FCaA,372146
spotify:track:5gw8HNcrqliEw0X6pPrPvG,182746
spotify:track:7INi4pMPG4IE0Smx5y4KVf,304506
spotify:track:4aVuWgvD0X63hcOCnZtNFA,235546
spotify:track:6eDYgjKl4vUgRusxb7THDu,329146
spotify:track:3lGMtkONrZdJ8kTCg6KIFf,221800
spotify:track:27IRo2rYeizhRMDaNVplNM,289200
spotify:track:3LNZSTiwQYL7BnTfHvIOII,240853
spotify:track:5MK642wCaNr9hRDZ3kWyDX,344280
spotify:track:4YR6Dextuoc3I8nJ0XgzKI,226293
spotify:track:4UXE0ZLGIoLUOFqTECzoQe,273306
spotify:track:4RepvCWqsP6zBuzvwYibAS,269186
spotify:track:0r9d60ZYPAlFHq8qnUtkXN,190909
spotify:track:6oWpGuwokWJ4EcWgVQPdUt,212893
spotify:track:1p7m9H4H8s0Y7SgRm7j3ED,277653
spotify:track:0b9oOr2ZgvyQu88wzixux9,225773
spotify:track:79cuOz3SPQTuFrp8WgftAu,199440
spotify:track:6VSm4HuSiOGWjbt6zpPnvh,267800
spotify:track:62r1CS9zL1FL5Ilb7hLX7n,225373
spotify:track:1qDrWA6lyx8cLECdZE7TV7,244884
spotify:track:7zPfvP2sFsLxrKqezlvVm4,182120
spotify:track:4VJZMZV7U4KK2GE4sSThVM,200306
spotify:track:43hvtsou0WXnUIZo8dBjJ3,220333
spotify:track:0Qj7PB41b6XgkApKPwDy1r,350085
spotify:track:4rF24kXLF4PRBHdWntgiLl,423373
spotify:track:49colNVoLFcMszng9O8w4h,225200
spotify:track:6SsOtB41HPvZdEFjtLUhop,231906
