master_metadata_album_artist_name,artist_genre
Board-Man,lo-fi
Frijo,argentine trap
Carlos Vives,colombian pop
Billy Ray Cyrus,unknown
Khalid,unknown
The Sugarhill Gang,unknown
Marlena Shaw,northern soul
Bill Evans,jazz
Michel Teló,sertanejo
Turf,argentine rock
Banda XXI,cuarteto
Aterrizaje Forzoso,latin rock
Luiz Bonfá,bossa nova
Cannonball Adderley,hard bop
Olvidate!,cumbia
Joey Bada$$,hip hop
Billy Idol,unknown
Alexandra Stan,unknown
Randy Newman,unknown
Screaming Headless Torsos,funk rock
Oscar Peterson Trio,jazz
The Black Keys,blues rock
Curtis Mayfield,soul
Art Tatum,jazz
Sha Na Na,musicals
ZAYN,unknown
Jhené Aiko,r&b
Ryan McCartan,musicals
Stan Getz,bossa nova
Lalo Leyva,unknown
The Smashing Pumpkins,alternative rock
Porta,unknown
M.S. Art,unknown
Tempo,latin hip hop
Amy Winehouse,unknown
Wallows,indie
Outkast,southern hip hop
Eiffel 65,eurodance
Portugal. The Man,unknown
Macklemore & Ryan Lewis,unknown
Bad Bunny,reggaeton
monte booker,unknown
BTS,k-pop
Maikel Delacalle,trap latino
George Harrison,unknown
Icona Pop,unknown
BADBADNOTGOOD,unknown
Los De La Nazza,reggaeton
The Royal Philharmonic Concert Orchestra,unknown
Lou Reed,glam rock
Prince,funk rock
Blue Öyster Cult,classic rock
Dimitri Vegas & Like Mike,big room
The Cars,power pop
John Newman,unknown
Gloria Gaynor,disco
Nikki Blonsky,musicals
Thurston Harris,doo-wop
Frank Ocean,unknown
Vampire Weekend,indie
Leona Lewis,unknown
Jarabe De Palo,rock en español
Mac DeMarco,indie
Luis Fonsi,latin
Carmen Twillie,unknown
Rick Astley,unknown
Fontella Bass,motown
WALK THE MOON,unknown
The La Planta,cumbia
Estelares,argentine rock
SwitchOTR,uk drill
Beck,unknown
Las Pastillas del Abuelo,argentine rock
Marcos Valle,bossa nova
Moai Beats,lo-fi
Peaches & Herb,disco
Justin Timberlake,unknown
Tyga,unknown
Poncho,electropop
Alabama Shakes,unknown
Yandar & Yostin,reggaeton
Amii Stewart,disco
Victoria Monét,alternative r&b
Salt-N-Pepa,unknown
Anitta,brazilian pop
The Lumineers,folk pop
Arctic Monkeys,indie
Los Unidades,unknown
Steely Dan,classic rock
The Proclaimers,unknown
Calle 13,latin hip hop
Gilda,cumbia
The Meters,funk
Monophonics,retro soul
Higher Brothers,chinese hip hop
Jimmy Cliff,reggae
Ashe,unknown
Joy Division,post-punk
Tay Zonday,unknown
Pusha T,unknown
Hailee Steinfeld,unknown
Steve Winwood,soft rock
David Guetta,edm
Victorious Cast,unknown
Electro Deluxe,acid jazz
Leslie Grace,bachata
Sean Paul,dancehall
Playboi Carti,rage rap
Boney M.,disco
The Harmony Group,unknown
A Tribe Called Quest,jazz rap
Depeche Mode,new wave
Kristen Anderson-Lopez,unknown
MAGIC!,unknown
Foo Fighters,rock
Mike Oldfield,progressive rock
Bill Medley,unknown
Amelia Cole,unknown
Matt White,gothic country
Janis Joplin,classic rock
Hentai Xander,hyperpop
Dj Cutman,lo-fi
Rascal Flatts,country
IQ,progressive rock
tides.,jazz beats
Beach Bunny,unknown
Europe,glam metal
Lionel Richie,motown
Charles Aznavour,chanson
Hardwell,big room
Sharpay Evans,unknown
Dessia el Otro,cumbia
Andrew Huang,unknown
Louis Armstrong,jazz
Dr. Octagon,experimental hip hop
Fat Joe,east coast hip hop
Netta Brielle,unknown
David Lebón,argentine rock
The Jackson 5,motown
Katie Viqueira,lullaby
Sister Sledge,disco
Nicki Nicole,argentine trap
Evanescence,alternative metal
The Ronettes,christmas
Boyce Avenue,acoustic pop
Bobby Caldwell,unknown
Queens of the Stone Age,stoner rock
The Teardrop Explodes,post-punk
Suzanne Vega,singer-songwriter
RichaadEB,unknown
Los Twist,argentine rock
Irma Thomas,unknown
Camilo Salinas,unknown
Alannah Myles,unknown
Rockabye Baby!,lullaby
Geek Music,anime
El Retutu,cumbia
Lady Gaga,art pop
Lizzo,unknown
Ed Motta,mpb
Bill Conti,unknown
Chance the Rapper,unknown
WILLOW,unknown
Stevie Ray Vaughan,blues
Aaron Smith,unknown
Árbol,argentine rock
Sérgio Mendes,brazilian jazz
Limes,lo-fi beats
Three Dog Night,unknown
Los Caballeros De La Quema,argentine rock
Alessia Cara,unknown
Perico Hernandez,unknown
Zac Efron,musicals
Sajan,unknown
Melodyia Music,unknown
Tower Of Power,jazz funk
Eminem,rap
Gaelic Storm,celtic
Shirt,unknown
MxPx,skate punk
Shouse,unknown
Survivor,unknown
Beastie Boys,rap rock
Ohio Players,soul
Intoxicados,argentine rock
Benja Barceló,unknown
Vanessa Hudgens,unknown
Silk City,unknown
Don Omar,reggaeton
Sly Stone,northern soul
Victor Wooten,jazz fusion
Mandy Moore,unknown
Steve Miller Band,classic rock
Beach House,dream pop
The Turtles,unknown
Roger Waters,progressive rock
Plan B,reggaeton
Pet Shop Boys,synthpop
Antonio Rios,cumbia
Def Leppard,glam metal
Man Ray,argentine rock
Danny Brown,experimental hip hop
Zafrir,melodic techno
Armin van Buuren,trance
Richard White,unknown
Jinsang,lo-fi
Marco Antonio Solís,grupera
Glee Cast,christmas
J Balvin,reggaeton
Dove Cameron,unknown
El Apache Ness,cumbia
Foster The People,unknown
Huntertones,jazz funk
Ms Nina,neoperreo
U.S.A. For Africa,unknown
Scorpions,hard rock
Joey Montana,reggaeton
J.J. Cale,blues
Ken Clayton,unknown
El Cuarteto De Nos,cuarteto
The White Stripes,garage rock
Saib,lo-fi
Wun Two,lo-fi beats
Baltimora,italo disco
Christina Aguilera,unknown
Micro TDH,unknown
Kiddtetoon,chilean trap
Black Eyed Peas,unknown
Couch,pop soul
DaBaby,unknown
Bon Jovi,glam metal
Oliver Tree,unknown
Van Morrison,unknown
Lasser,acid house
Black Pumas,retro soul
The O'Jays,philly soul
Delegation,unknown
George Benson,smooth jazz
The Spinners,philly soul
fun.,unknown
Jacob Sartorius,unknown
Gema Castaño,unknown
Dave Koz,unknown
Stealth,unknown
Ike & Tina Turner,motown
Funky Times,jazz funk
Keyan JRN,unknown
Iván Cairo,unknown
Russ,unknown
GoldLink,unknown
The Greatest Bits,unknown
The National,indie rock
George Thorogood & The Destroyers,classic rock
Megan Thee Stallion,unknown
Epic Rap Battles of History,comedy
U-Roy,reggae
Little Richard,rockabilly
Generation X,unknown
Eric Carmen The Non Binary Sandman,unknown
