master_metadata_album_artist_name,artist_genre,macro_genre
Juan Carlos Baglietto,trova,unknown
The Cure,new wave,Pop/Rock
Derek & The Dominos,blues rock,Pop/Rock
Incubus,nu metal,unknown
Blondie,unknown,unknown
Elvis Presley,rockabilly,Pop/Rock
Rupert Holmes,unknown,unknown
Rage Against The Machine,rap metal,Urban
Pixies,alternative rock,Pop/Rock
Alan Walker,unknown,unknown
Berlin,unknown,unknown
Reik,latin pop,Pop/Rock
The Cranberries,unknown,unknown
Pekeño 77,argentine trap,Urban
NATHY PELUSO,latin hip hop,Urban
Dread Mar I,spanish-language reggae,unknown
MGMT,indie,Pop/Rock
Thin Lizzy,classic rock,Pop/Rock
Rufus Wainwright,chamber pop,Pop/Rock
Lily Allen,unknown,unknown
Ed Sheeran,soft pop,Pop/Rock
Kevo DJ,rkt,unknown
Los Tipitos,argentine rock,Pop/Rock
Rusted Root,unknown,unknown
Steve Vai,unknown,unknown
Stevie Wonder,motown,unknown
Heldeus,slap house,Electronica
Paul Desmond,cool jazz,Otros
Cheryl Freeman,unknown,unknown
The Gap Band,quiet storm,unknown
Sheryl Crow,unknown,unknown
Uncle Walt's Band,americana,unknown
Adam Neely,unknown,unknown
St. Vincent,art pop,Pop/Rock
Martin Garrix,edm,Electronica
Adele,soft pop,Pop/Rock
Bell Biv DeVoe,new jack swing,unknown
Barbi Recanati,latin indie,Pop/Rock
Nat King Cole,christmas,unknown
El Mató a un Policía Motorizado,argentine rock,Pop/Rock
Falco,neue deutsche welle,unknown
Miguel Mateos - Zas,rock en español,Pop/Rock
Roxette,unknown,unknown
Dizzy Gillespie,bebop,unknown
Nicki Minaj,unknown,unknown
Iron Maiden,heavy metal,unknown
Chayanne,latin pop,Pop/Rock
Marama,cumbia,Regional
Blaster DJ,guaracha,unknown
Gustavo Cerati,argentine rock,Pop/Rock
Seal,unknown,unknown
Meghan Trainor,unknown,unknown
Arrested Development,unknown,unknown
The Righteous Brothers,unknown,unknown
The Dave Brubeck Quartet,jazz,Otros
Capital Cities,unknown,unknown
Usted Señalemelo,latin indie,Pop/Rock
Dave Weckl,jazz fusion,Otros
Luis Miguel,mariachi,unknown
Jesse & Joy,latin pop,Pop/Rock
Gary Jules,unknown,unknown
Jean Knight,motown,unknown
Panic! At The Disco,emo,Pop/Rock
Detroit Rock Hitters,unknown,unknown
Billie Eilish,unknown,unknown
Donna Murphy,unknown,unknown
Miguel Mateos,rock en español,Pop/Rock
The Cannonball Adderley Quintet,hard bop,unknown
Pearl Jam,grunge,Pop/Rock
Papando Moscas,lullaby,unknown
Creedence Clearwater Revival,classic rock,Pop/Rock
The Fabulous Thunderbirds,blues rock,Pop/Rock
Blitz,brazilian rock,Pop/Rock
Nestor En Bloque,cumbia,Regional
Emilia,argentine trap,Urban
Chumbawamba,unknown,unknown
Airbag,argentine rock,Pop/Rock
Spinetta Y Los Socios Del Desierto,argentine rock,Pop/Rock
Bonnie Tyler,unknown,unknown
John Denver,folk,Otros
Collective Soul,post-grunge,Pop/Rock
Lynyrd Skynyrd,southern rock,Pop/Rock
Ab-Soul,unknown,unknown
Los Wachiturros,turreo,unknown
Desireless,unknown,unknown
Nek,rock en español,Pop/Rock
Peter Bjorn and John,indie,Pop/Rock
Neo Pistea,argentine trap,Urban
The Mission,deathrock,Pop/Rock
John Williams,soundtrack,unknown
Sub Urban,unknown,unknown
Rodrigo Amarante,nova mpb,unknown
The Bolshoi,new wave,Pop/Rock
MIKA,unknown,unknown
Murray Gold,soundtrack,unknown
Nicky Jam,reggaeton,Urban
Kaleb Di Masi,rkt,unknown
Taylor Swift,unknown,unknown
Juanes,latin pop,Pop/Rock
Sak Noel,moombahton,unknown
Spin Doctors,unknown,unknown
La Torre,argentine rock,Pop/Rock
CeeLo Green,unknown,unknown
Justin Bieber,unknown,unknown
